"","ClusterID","TID","X","Y","V","Movie","Type","ID","StepX","StepY","State"
"262","4","4",147.573,194.099,0.169,"20180206","non-invader","20180206-4-4-non-invader",0.600999999999999,0.289999999999992,"1"
"263","4","4",146.967,194.553,0.192,"20180206","non-invader","20180206-4-4-non-invader",0.605999999999995,0.454000000000008,"1"
"264","4","4",145.065,195.309,0.52,"20180206","non-invader","20180206-4-4-non-invader",1.90200000000002,0.756,"1"
"265","4","4",141.62,196.25,0.906,"20180206","non-invader","20180206-4-4-non-invader",3.44499999999999,0.941000000000003,"1"
"266","4","4",141.214,196.356,0.106,"20180206","non-invader","20180206-4-4-non-invader",0.406000000000006,0.105999999999995,"1"
"268","4","4",140.66,196.215,0.101,"20180206","non-invader","20180206-4-4-non-invader",0.378999999999991,0.115000000000009,"1"
"270","4","4",140.473,194.254,0.471,"20180206","non-invader","20180206-4-4-non-invader",0.061000000000007,1.85500000000002,"1"
"271","4","4",140.986,191.795,0.637,"20180206","non-invader","20180206-4-4-non-invader",0.512999999999977,2.459,"1"
"272","4","4",141.125,191.132,0.172,"20180206","non-invader","20180206-4-4-non-invader",0.13900000000001,0.662999999999982,"1"
"273","4","4",141.218,190.666,0.121,"20180206","non-invader","20180206-4-4-non-invader",0.0929999999999893,0.466000000000008,"1"
"274","4","4",141.467,189.97,0.188,"20180206","non-invader","20180206-4-4-non-invader",0.249000000000024,0.695999999999998,"1"
"275","4","4",141.608,189.362,0.158,"20180206","non-invader","20180206-4-4-non-invader",0.140999999999991,0.608000000000004,"1"
"276","4","4",141.908,188.625,0.202,"20180206","non-invader","20180206-4-4-non-invader",0.299999999999983,0.736999999999995,"1"
